"plid","nadults","stablelink","datetime","moon","tempf"
"LOCKb2013a_000143",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f53f.JPG",2012-12-23 13:00:00,"waxinggib",44
"LOCKb2013a_000144",20,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f541.JPG",2012-12-23 14:00:00,"waxinggib",57
"LOCKb2013a_000145",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f543.JPG",2012-12-23 15:00:00,"waxinggib",64
"LOCKb2013b_000001",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f545.JPG",2012-12-23 16:00:00,"waxinggib",54
"LOCKb2013b_000002",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f547.JPG",2012-12-23 17:00:00,"waxinggib",46
"LOCKb2013b_000003",19,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f549.JPG",2012-12-23 18:00:00,"waxinggib",45
"LOCKb2013b_000004",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f54b.JPG",2012-12-23 19:00:00,"waxinggib",47
"LOCKb2013b_000005",23,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f54d.JPG",2012-12-23 20:00:00,"waxinggib",48
"LOCKb2013b_000006",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f54f.JPG",2012-12-24 07:00:00,"waxinggib",46
"LOCKb2013b_000007",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f551.JPG",2012-12-24 08:00:00,"waxinggib",45
"LOCKb2013b_000008",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f553.JPG",2012-12-24 09:00:00,"waxinggib",45
"LOCKb2013b_000012",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f55b.JPG",2012-12-24 13:00:00,"waxinggib",64
"LOCKb2013b_000015",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f561.JPG",2012-12-24 16:00:00,"waxinggib",50
"LOCKb2013b_000018",14,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119baf12fc4d79f301f567.JPG",2012-12-24 19:00:00,"waxinggib",44
"LOCKb2013b_000061",21,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5bd.JPG",2012-12-27 20:00:00,"full",36
"LOCKb2013b_000068",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5cb.JPG",2012-12-28 13:00:00,"full",40
"LOCKb2013b_000071",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5d1.JPG",2012-12-28 16:00:00,"full",39
"LOCKb2013b_000072",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5d3.JPG",2012-12-28 17:00:00,"full",38
"LOCKb2013b_000079",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5e1.JPG",2012-12-29 10:00:00,"full",48
"LOCKb2013b_000085",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5ed.JPG",2012-12-29 16:00:00,"full",39
"LOCKb2013b_000087",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5f1.JPG",2012-12-29 18:00:00,"full",35
"LOCKb2013b_000092",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f5fb.JPG",2012-12-30 09:00:00,"full",37
"LOCKb2013b_000102",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f60f.JPG",2012-12-30 19:00:00,"full",36
"LOCKb2013b_000103",14,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f611.JPG",2012-12-30 20:00:00,"full",35
"LOCKb2013b_000105",17,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f615.JPG",2012-12-31 08:00:00,"waninggib",35
"LOCKb2013b_000109",14,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f61d.JPG",2012-12-31 12:00:00,"waninggib",37
"LOCKb2013b_000118",13,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb012fc4d79f301f62f.JPG",2013-01-01 07:00:00,"waninggib",32
"LOCKb2013b_000148",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f66b.JPG",2013-01-03 09:00:00,"lastq",49
"LOCKb2013b_000153",14,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f675.JPG",2013-01-03 14:00:00,"lastq",45
"LOCKb2013b_000159",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f681.JPG",2013-01-03 20:00:00,"lastq",41
"LOCKb2013b_000161",18,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f685.JPG",2013-01-04 08:00:00,"lastq",40
"LOCKb2013b_000162",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f687.JPG",2013-01-04 09:00:00,"lastq",41
"LOCKb2013b_000163",15,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f689.JPG",2013-01-04 10:00:00,"lastq",43
"LOCKb2013b_000164",16,"http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/standard/54119bb112fc4d79f301f68b.JPG",2013-01-04 11:00:00,"lastq",42
