imageid,datetime,nadults,nchicks,neggs,tempc,lunar_phase,URL
SPIGa2013b_004815,2013:11:26 14:00:00,25,0,0,12.78,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed712fc4d79f305104d.JPG
SPIGa2013b_004830,2013:11:27 14:00:00,23,0,0,12.78,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119ed712fc4d79f305106b.JPG
SPIGa2014a_000159,2014:01:03 20:00:00,39,0,0,12.78,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119edc12fc4d79f30514b7.JPG
SPIGa2012a_000093,2012:12:01 19:00:00,21,0,0,12.22,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e85d.JPG
SPIGa2012a_000132,2012:12:04 13:00:00,13,0,0,12.22,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eae12fc4d79f304e8ab.JPG
SPIGa2012a_000158,2012:12:06 09:00:00,15,0,0,12.22,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8df.JPG
SPIGa2012a_000160,2012:12:06 11:00:00,14,0,0,12.22,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8e3.JPG
SPIGa2012a_000172,2012:12:07 08:00:00,11,1,0,12.22,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e8fb.JPG
SPIGa2012a_000176,2012:12:07 12:00:00,12,0,0,12.22,lastq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eaf12fc4d79f304e903.JPG
SPIGa2012a_000370,2012:12:20 11:00:00,12,0,0,12.22,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb012fc4d79f304ea87.JPG
SPIGa2013b_000119,2013:01:17 13:00:00,12,11,0,12.22,newcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb112fc4d79f304eb9d.JPG
SPIGa2013b_000240,2013:01:25 14:00:00,15,9,0,12.22,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb212fc4d79f304ec8f.JPG
SPIGa2013b_000256,2013:01:26 15:00:00,15,11,0,12.22,full,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb212fc4d79f304ecaf.JPG
SPIGa2013b_000615,2013:02:19 14:00:00,3,0,0,12.22,firstq,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304ef7d.JPG
SPIGa2013b_000631,2013:02:20 15:00:00,9,0,0,12.22,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304ef9d.JPG
SPIGa2013b_000645,2013:02:21 14:00:00,14,0,0,12.22,waxinggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb512fc4d79f304efb9.JPG
SPIGa2013b_000783,2013:03:02 17:00:00,10,0,0,12.22,waninggib,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb712fc4d79f304f0cd.JPG
SPIGa2013b_000888,2013:03:09 17:00:00,16,1,0,12.22,oldcres,http://zooniverse-static.s3.amazonaws.com/www.penguinwatch.org/subjects/thumb/54119eb712fc4d79f304f19f.JPG
